Unnamed: 0,text,code,task_id,test_list,Unnamed: 5
0," this function to find the minimum cost path to reach (m, n) from (0, 0) for the given cost matrix cost[][] and a position (m, n) in cost[][].","
const R = 3;
const C = 3;

function min_cost(cost, m, n) {
    let tc = Array.from({ length: R }, () => Array(C).fill(0));
    tc[0][0] = cost[0][0];
    
    for (let i = 1; i <= m; i++) {
        tc[i][0] = tc[i - 1][0] + cost[i][0];
    }
    
    for (let j = 1; j <= n; j++) {
        tc[0][j] = tc[0][j - 1] + cost[0][j];
    }
    
    for (let i = 1; i <= m; i++) {
        for (let j = 1; j <= n; j++) {
            tc[i][j] = Math.min(tc[i - 1][j - 1], tc[i - 1][j], tc[i][j - 1]) + cost[i][j];
        }
    }
    
    return tc[m][n];
}
",1,"
[console.assert(min_cost([[1, 2, 3], [4, 8, 2], [1, 5, 3]], 2, 2) === 8), console.assert(min_cost([[2, 3, 4], [5, 9, 3], [2, 6, 4]], 2, 2) === 12), console.assert(min_cost([[3, 4, 5], [6, 10, 4], [3, 7, 5]], 2, 2) === 16)]
",
1, this function to find the similar elements from the given two tuple lists.,"function max_difference(test_list) {
    let temp = test_list.map(([a, b]) => Math.abs(b - a));  
    let res = Math.max(...temp);  
    return res;
}",2,"[console.assert(max_difference([[3, 5], [1, 7], [10, 3], [1, 2]]) === 7),
console.assert(max_difference([[4, 6], [2, 17], [9, 13], [11, 12]]) === 15),
console.assert(max_difference([[12, 35], [21, 27], [13, 23], [41, 22]]) === 23)]",
2, this   function to identify non-prime numbers.,"
function isNotPrime(n) {
    let result = false;
    for (let i = 2; i <= Math.sqrt(n); i++) {
        if (n % i === 0) {
            result = true;
        }
    }
    return result;
}
",3,"[
    console.assert(isNotPrime(2) === false), 
    console.assert(isNotPrime(10) === true), 
    console.assert(isNotPrime(35) === true) 
]",
3, this function to find the largest integers from a given list of numbers using heap queue algorithm.,"
function heapQueueLargest(nums, n) {
  return nums.sort((a, b) => b - a).slice(0, n);
}
",4,"
[console.assert(heapQueueLargest([25, 35, 22, 85, 14, 65, 75, 22, 58], 3).toString() === [85, 75, 65].toString()), console.assert(heapQueueLargest([25, 35, 22, 85, 14, 65, 75, 22, 58], 2).toString() === [85, 75].toString()), console.assert(heapQueueLargest([25, 35, 22, 85, 14, 65, 75, 22, 58], 5).toString() === [85, 75, 65, 58, 35].toString())]
",
4, this function to find the number of ways to fill it with 2 x 1 dominoes for the given 3 x n board.,"function countWays(n) { 
    let A = new Array(n + 1).fill(0); 
    let B = new Array(n + 1).fill(0); 
    A[0] = 1; 
    A[1] = 0; 
    B[0] = 0; 
    B[1] = 1; 
    for (let i = 2; i <= n; i++) { 
        A[i] = A[i - 2] + 2 * B[i - 1]; 
        B[i] = A[i - 1] + B[i - 2]; 
    } 
    return A[n]; 
}",5,"[
    console.assert(countWays(2) === 3),
    console.assert(countWays(8) === 153),
    console.assert(countWays(12) === 2131)
]",0
5, this   function to check whether the two numbers differ at one bit position only or not.,"function differAtOneBitPos(a, b) { 
    return (a ^ b) && !((a ^ b) & ((a ^ b) - 1));
}",6,"
[console.assert(differAtOneBitPos(13,9) === true), console.assert(differAtOneBitPos(15,8) === false), console.assert(differAtOneBitPos(2,4) === false)]
",
7, this function to find squares of individual elements in a list using lambda function.,"
function squareNums(nums) {
    const squareNums = nums.map(x => x ** 2);
    return squareNums;
}
",8,"[console.assert(JSON.stringify(squareNums([1, 2, 3, 4, 5, 6, 7, 8, 9, 10]))) === JSON.stringify([1, 4, 9, 16, 25, 36, 49, 64, 81, 100]), console.assert(JSON.stringify(squareNums([10,20,30])) === JSON.stringify([100,400,900])), console.assert(JSON.stringify(squareNums([12,15])) === JSON.stringify([144,225]))]",
8, this   function to find the minimum number of rotations required to get the same string.,"
function findRotations(str) {
    let tmp = str + str;
    let n = str.length;
    for (let i = 1; i <= n; i++) {
        let substring = tmp.slice(i, i + n);
        if (str === substring) {
            return i;
        }
    }
    return n;
}
",9,"[
    console.assert(findRotations(""aaaa"") === 1),
    console.assert(findRotations(""ab"") === 2),
    console.assert(findRotations(""abc"") === 3)
]",
10, this   function to remove first and last occurrence of a given character from the string.,"
function remove_Occ(s, ch) { 
    for (let i = 0; i < s.length; i++) { 
        if (s[i] === ch) { 
            s = s.slice(0, i) + s.slice(i + 1); 
            break; 
        } 
    } 
    for (let i = s.length - 1; i >= 0; i--) {  
        if (s[i] === ch) { 
            s = s.slice(0, i) + s.slice(i + 1); 
            break; 
        } 
    } 
    return s; 
}
",11,"
[console.assert(remove_Occ(""hello"",""l"") === ""heo""), console.assert(remove_Occ(""abcda"",""a"") === ""bcd""), console.assert(remove_Occ(""PHP"",""P"") === ""H"")]
",
11, this function to sort a given matrix in ascending order according to the sum of its rows.,"
function sortMatrix(M) {
    const result = M.sort((a, b) => a.reduce((acc, val) => acc + val, 0) - b.reduce((acc, val) => acc + val, 0));
    return result;
}
",12,"[
    console.assert(JSON.stringify(sortMatrix([[1, 2, 3], [2, 4, 5], [1, 1, 1]])) === JSON.stringify([[1, 1, 1], [1, 2, 3], [2, 4, 5]])),
    console.assert(JSON.stringify(sortMatrix([[1, 2, 3], [-2, 4, -5], [1, -1, 1]])) === JSON.stringify([[-2, 4, -5], [1, -1, 1], [1, 2, 3]])),
    console.assert(JSON.stringify(sortMatrix([[5, 8, 9], [6, 4, 3], [2, 1, 4]])) === JSON.stringify([[2, 1, 4], [6, 4, 3], [5, 8, 9]]))
]",
